date,customer_id,firstname,lastname,email
2024-05-05,1,Firstname_1,Lastname_1,user1@example.com
2024-05-05,2,Firstname_2,Lastname_2,user2@example.com
2024-05-05,3,Firstname_3,Lastname_3,user3@example.com
2024-05-05,5,Firstname_5,Lastname_5,user5@example.com
2024-05-05,7,Firstname_7,Lastname_7,user7@example.com
2024-05-05,8,Firstname_8,Lastname_8,user8@example.com
2024-05-05,10,Firstname_10,Lastname_10,user10@example.com
2024-05-05,11,Firstname_11,Lastname_11,user11@example.com
2024-05-05,12,Firstname_12,Lastname_12,user12@example.com
2024-05-05,13,Firstname_13,Lastname_13,user13@example.com
2024-05-05,14,Firstname_14,Lastname_14,user14@example.com
2024-05-05,16,Firstname_16,Lastname_16,user16@example.com
2024-05-05,18,Firstname_18,Lastname_18,user18@example.com
2024-05-05,20,Firstname_20,Lastname_20,user20@example.com
2024-05-05,21,Firstname_21,Lastname_21,user21@example.com
2024-05-05,22,Firstname_22,Lastname_22,user22@example.com
2024-05-05,23,Firstname_23,Lastname_23,user23@example.com
2024-05-05,24,Firstname_24,Lastname_24,user24@example.com
